CPU Name,Brand,Capacity,Benchmark Score,Price
MEGA Electronics Fastro MS150 512GB,MEGA,512GB,2589,48
Patriot P300 1TB,Patriot,1TB,2587,55
Kimtigo KTP660 512GB,Kimtigo,512GB,2563,30
Intenso Premium 1TB,Intenso,1TB,2559,54
Apacer AS2280P4 512GB,Apacer,512GB,2531,57
ADATA XPG Gammix S11 Pro 512GB,ADATA,512GB,2512,83
Kingston NV1 (TLC) 500GB,Kingston,500GB,2509,71
Patriot P310 480GB,Patriot,480GB,2508,34
Mushkin Element 256GB,Mushkin,256GB,2502,27
ADATA XPG SX8200 Pro 512GB,ADATA,512GB,2462,35
Innovation IT Performance 512GB,Innovation,512GB,2458,45
MediaRange MR1031 1TB,MediaRange,1TB,2450,80
fanxiang S501 512GB,fanxiang,512GB,2434,63
Kingston NV1 1TB,Kingston,1TB,2430,113
ADATA XPG Gammix S11 Pro 256GB,ADATA,256GB,2396,49
Western Digital WD Blue SN570 1TB,Western,1TB,2368,86
Kingston NV2 250GB,Kingston,250GB,2364,39
ADATA XPG SX6000 Lite 512GB,ADATA,512GB,2359,57
ADATA LEGEND 710 512GB,ADATA,512GB,2337,31
Western Digital WD Blue SN550 500GB,Western,500GB,2278,51
Lexar NM620 256GB,Lexar,256GB,2265,25
Patriot P300 256GB,Patriot,256GB,2237,20
Netac NV3000 250GB,Netac,250GB,2194,23
ADATA Falcon 512GB,ADATA,512GB,2188,90
Intenso Premium 500GB,Intenso,500GB,2163,27
fanxiang S500 Pro 256GB,fanxiang,256GB,2136,24
Western Digital WD_BLACK SN750 250GB,Western,250GB,2133,129
Verbatim Vi3000 256GB,Verbatim,256GB,2126,24
Western Digital WD Green SN350 480GB,Western,480GB,2124,52
Kingston NV1 250GB,Kingston,250GB,2111,24
TeamGroup MP33 512GB,TeamGroup,512GB,2106,41
Kimtigo KTP660 256GB,Kimtigo,256GB,2090,15
MediaRange MR1031 256GB,MediaRange,256GB,2035,43
Sabrent Rocket Q 512GB,Sabrent,512GB,2021,89
Magix X-EVO 256GB,Magix,256GB,2004,21
Western Digital WD Blue SN570 500GB,Western,500GB,2000,67
ADATA XPG SX6000 Lite 256GB,ADATA,256GB,1984,45
Patriot P310 240GB,Patriot,240GB,1962,19
ADATA LEGEND 710 256GB,ADATA,256GB,1887,31
Intenso Premium 250GB,Intenso,250GB,1872,17
Apacer AS2280P4 256GB,Apacer,256GB,1862,51
Seagate BarraCuda Q5 500GB,Seagate,500GB,1855,58
Gigabyte NVMe 256GB,Gigabyte,256GB,1824,21
PNY CS1030 500GB,PNY,500GB,1617,32
TeamGroup MP33 256GB,TeamGroup,256GB,1559,24
Emtec X300 Power Pro 256GB,Emtec,256GB,1552,26
Transcend 220S 256GB,Transcend,256GB,1512,39
ADATA XPG SX8200 Pro 256GB,ADATA,256GB,1493,22
Western Digital WD Green SN350 240GB,Western,240GB,1405,27
Western Digital WD Blue SN550 250GB,Western,250GB,1348,96
Western Digital WD Blue SN570 250GB,Western,250GB,1336,96
